date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:19	1381/1381	---MCZ	200	added ('OK')	text/css	etag:W/%22378-1745549462750%22	https://azurlane.nagami.moe/_app/immutable/assets/11.DgAFvCzk.css	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/assets/11.DgAFvCzk.css	(from https://azurlane.nagami.moe/equip)
23:51:19	1027/1027	---MCZ	200	added ('OK')	text/css	etag:W/%22306-1745549462750%22	https://azurlane.nagami.moe/_app/immutable/assets/EquipModalFilter.CeUamUBs.css	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/assets/EquipModalFilter.CeUamUBs.css	(from https://azurlane.nagami.moe/equip)
23:51:20	1041/1041	---MCZ	200	added ('OK')	text/css	etag:W/%22281-1743080611245%22	https://azurlane.nagami.moe/_app/immutable/assets/EquipNew.C0zYLCs3.css	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/assets/EquipNew.C0zYLCs3.css	(from https://azurlane.nagami.moe/equip)
23:51:20	1200/1200	---MCZ	200	added ('OK')	text/css	etag:W/%22312-1745549462750%22	https://azurlane.nagami.moe/_app/immutable/assets/EquipFilterMenu.DUMNH57R.css	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/assets/EquipFilterMenu.DUMNH57R.css	(from https://azurlane.nagami.moe/equip)
23:51:20	1680/1680	---MCZ	200	added ('OK')	text/css	etag:W/%22540-1745549462750%22	https://azurlane.nagami.moe/_app/immutable/assets/25.DbfF9JRj.css	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/_app/immutable/assets/25.DbfF9JRj.css	(from https://azurlane.nagami.moe/story)
23:51:21	24581/24581	---M--	200	added ('OK')	image/png	date:Sun,%2004%20May%202025%2015:51:19%20GMT	https://raw.githubusercontent.com/JustNagami/AL-assets/main/squareicon/salatuojia_h.png	D:/website%20cloning/azurlane%20live2d%20viewer/azure/raw.githubusercontent.com/JustNagami/AL-assets/main/squareicon/salatuojia_h.png	(from https://azurlane.nagami.moe/story)
23:51:21	11763/11763	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2015:51:19%20GMT	https://azurlane.nagami.moe/story/1	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/story/1.html	(from https://azurlane.nagami.moe/story)
23:51:21	50778/50778	---M--	200	added ('OK')	image/png	etag:%226645fc25-c65a%22	https://cdn.nagami.moe/memoryicon/title_main.png	D:/website%20cloning/azurlane%20live2d%20viewer/azure/cdn.nagami.moe/memoryicon/title_main.png	(from https://azurlane.nagami.moe/story)
23:51:21	13222/13222	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2015:51:20%20GMT	https://azurlane.nagami.moe/story/2	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/story/2.html	(from https://azurlane.nagami.moe/story)
23:51:22	10839/10839	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2015:51:20%20GMT	https://azurlane.nagami.moe/story/3	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/story/3.html	(from https://azurlane.nagami.moe/story)
23:51:22	12884/12884	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2015:51:21%20GMT	https://azurlane.nagami.moe/story/4	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/story/4.html	(from https://azurlane.nagami.moe/story)
23:51:23	14224/14224	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2015:51:21%20GMT	https://azurlane.nagami.moe/story/5	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/story/5.html	(from https://azurlane.nagami.moe/story)
23:51:23	19436/19436	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2015:51:21%20GMT	https://azurlane.nagami.moe/story/98	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/story/98.html	(from https://azurlane.nagami.moe/story)
23:51:23	11219/11219	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2015:51:22%20GMT	https://azurlane.nagami.moe/story/99	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/story/99.html	(from https://azurlane.nagami.moe/story)
23:51:23	10882/10882	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20May%202025%2015:51:22%20GMT	https://azurlane.nagami.moe/story/100	D:/website%20cloning/azurlane%20live2d%20viewer/azure/azurlane.nagami.moe/story/100.html	(from https://azurlane.nagami.moe/story)
